0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0|0,0|0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0,0|0,0|0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1|0,1|0,0|1,0|1,1|0,1,0,0,0,0,L,1|0,1|0,0|0
0,P,0,0,0,0,0,0,0,0,0,0,L,1,1|0,1|0,0|1,0|1,1|0,1,0,0,0,0,L,0|0,1|0,0|0
1,1,0,0,S,1,1,1,1,1,0,0,L,0,0|1,0|1,0|1,0|1,1|0,1,0,0,0,0,L,0|0,1|0,0|0
SF,SF,0,0,0,d,0,0,0,SF,0,0,L,0,0|1,0|1,0|1,0|1,1|0,1,1,1,1,0,L,0|0,1|0,1|0
0,0,0,0,0,d,0,0,0,0,0,~,~,~,0|1,0|1,0|1,0|1,0|1,0,0,S,1,0,L,0|0,0|0,1|0
0,0,0,L,1,1|0,0|1,0|1,0|1,0|1,0|1,1,1,1,1|0,1|1,0|1,0|1,0|1,0,0,S,1,1,1,0|0,0|0,1|0
0,D,0,L,SF,1|0,S|1,0|1,0|1,0|1,0|1,0,0,0,0|1,1|1,1|1,1|0,1|1,0,0,0,S,S,S,0|0,0|0,1|0
0,0,0,L,0,1|0,S|1,0|1,S|1,0|1,0|1,0,0,1,0|1,0|1,0|1,0|1,0|1,0,0,0,0,0,0,0|0,0|0,1|0
1,0|1,0|1,L|1,0|1,1,1,1,1,1,1,1,1,1,1|0,0|1,0|1,0|1,0|1,0,0,0,0,0,0,0|0,0|0,1|0
1,L|1,1,1,0|1,1,SF,0,s,1,0,0,SF,1,1|0,0|1,0|1,0|1,0|1,1,1,1,1,0,0,0|0,0|0,1|0
0|1,L|1,0|1,0|1,0|1,0,0,0,0,0,0,0,0,0,0|0,0|1,0|1,0|1,0|1,0,S,0,1,1,~,~|0,~|0,1|0
0|1,L|1,0|1,1|1,0|1,0,0,0,0,0,0,0,0,0,0|0,0|1,0|1,0|1,0|1,0,0,0,0,1,1,1|0,1|0,1|0
0|1,L|1,0|1,0|1,0|1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,SF,SF,1|0,0|0,1|0
